id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
232,232,Eperon Patrick ,Centre Patronal,5037345,,,Activities of business and employers membership organisations,,,
478,232,Schneuwly Felix,comparis.ch,803839,4442814,,Computer programming activities,,,
233,233,Weber Busch Catherine ,Schweizerischer Verband des Personals öffentlicher Dienste (vpod),0,,,Activities of trade unions,,,
479,233,Schaffner Ursula,Persönliche Mitarbeiterin,1039456,,,0,,,
234,234,Vitali-Odermatt Klara,Gast,0,5596910,,Freight transport by road,,,
480,234,Jurendic Marinko,Gast,7102120,,,Freight transport by road,,,
235,235,Stückelberger Ueli,Verband öffentlicher Verkehr (VöV),0,6719597,,Activities of professional membership organisations,,,
481,235,Egle Franz,Dynamics Group,5460240,1190796,,Business and other management consultancy activities,"Ex-VR Mitglied Andermatt Hotel Holding AG, enge Verbindung zu Sawiris (hat Deal in Andermatt eingefädelt), seine Agentur macht(e) Lobbying für EADS / Eurofighter im Kampfjet-Entscheid, weiterer Kunde der Agentur: WEF",,
236,236,Badertscher Christine,Persönliche Mitarbeiterin,5280775,,,0,,,
482,236,Fust Michael,Neue Europäische Bewegung Schweiz (Nebs),854881,,,0,,,
237,237,Minder Heinrich,Gast,18026,,,Freight transport by road,,,
483,237,Flückiger Stefan,Berner Waldbesitzer (BWB),6235820,,,0,,,
238,238,Zimmermann Michel,Persönlicher Mitarbeiter,542304,,,Pension funding,,,
484,238,Montangero Stephane ,Fourchette verte Suisse,4196966,,,0,,,
239,239,Walter Madeleine,Gast,513540,p22011150457,,Freight transport by road,,,
485,239,Schneider Urs,Persönlicher Mitarbeiter,5341530,,,Pension funding,,,
240,240,Peyer Hans,Allianz der Wirtschaft für eine massvolle Präventionspolitik (AWMP),1049831,p26001815016,,0,,,
486,240,Linder Stefan,Swiss Economic Forum,302856,1038098,,"Cultural, education, scientific and research organisations",,,
241,241,Wasserfallen Margret,Gast,0,p25005302916,,Freight transport by road,,,
487,241,Thalhammer Alexandra,Gast,0,p28007352913,,Freight transport by road,,,
242,242,Beglinger Nick,swisscleantech,0,56476,,Research and experimental development on social sciences and humanities,http://www.handelszeitung.ch/unternehmen/nick-beglinger-suspekter-saubermann,,
488,242,Kunz Stefan,Aqua Viva-Rheinaubund,5686312,p24006194100,,0,,,
243,243,Petrusic Ivica ,Dachverband der offenen Jugendarbeit Schweiz (DOJ),6595626,6595626,,0,,,
489,243,Sariaslan Emine,Forum für die Integration der Migrantinnen und Migranten (FIMM),0,p22009442056,,0,,,
244,244,Burgener Andreas ,auto-schweiz,6615680,4723834,,Web portals,,,
